CommunityID,Density,ClusteringCoeff,Conductance,FlakeODF,FOMD,TPR,CutRatio,Cohesiveness,Separability
1,0.37944664,0.46636364,0.40186916,0.2173913,0.30434783,1.0,0.00112806,0.13636364,0.74418605
2,0.34666667,0.44336283,0.17460317,0.0,0.4,1.0,0.00035412,0.16666667,2.36363636
3,0.20193237,0.3052753,0.13097713,0.02173913,0.32608696,1.0,0.00027674,0.08888889,3.31746032
4,0.37,0.4539057,0.19565217,0.0,0.28,1.0,0.00043461,0.20833333,2.05555556
5,0.27076923,0.4015444,0.23809524,0.03846154,0.30769231,1.0,0.00042572,0.16,1.6
6,0.27651515,0.32758621,0.07886435,0.0,0.24242424,1.0,0.00015268,0.15625,5.84
7,0.17676768,0.37049743,0.12280702,0.0,0.53333333,1.0,0.00021998,0.09090909,3.57142857
8,0.32307692,0.45801527,0.12863071,0.0,0.5,1.0,0.00023995,0.16,3.38709677
9,0.33986928,0.40481928,0.25714286,0.05555556,0.27777778,1.0,0.00040185,0.17647059,1.44444444
10,0.3030303,0.4293381,0.33962264,0.13636364,0.36363636,1.0,0.0006581,0.14285714,0.97222222
11,0.29,0.38665132,0.16746411,0.04,0.36,1.0,0.00028169,0.16666667,2.48571429
12,0.21585366,0.3146011,0.078125,0.0,0.3902439,1.0,0.0001477,0.1,5.9
13,0.43589744,0.51515152,0.2688172,0.15384615,0.23076923,1.0,0.00038601,0.25,1.36
14,0.44761905,0.52427184,0.265625,0.13333333,0.46666667,1.0,0.00045515,0.14285714,1.38235294
15,0.33230769,0.43823264,0.09623431,0.0,0.38461538,1.0,0.00017803,0.2,4.69565217
16,0.31521739,0.44863459,0.21621622,0.08333333,0.41666667,1.0,0.00040233,0.13043478,1.8125
17,0.36029412,0.40048544,0.14782609,0.0,0.23529412,1.0,0.00020088,0.1875,2.88235294
18,0.31384615,0.40759494,0.03773585,0.0,0.34615385,1.0,6.192e-05,0.16,12.75
19,0.40522876,0.48423006,0.13888889,0.05555556,0.33333333,1.0,0.00022325,0.23529412,3.1
20,0.38095238,0.45827985,0.17370892,0.04545455,0.5,1.0,0.00033819,0.19047619,2.37837838
21,0.41911765,0.47142857,0.19148936,0.05882353,0.29411765,1.0,0.00031905,0.25,2.11111111
22,0.41052632,0.51428571,0.12359551,0.0,0.5,1.0,0.00022111,0.21052632,3.54545455
23,0.42647059,0.49367089,0.20547945,0.0,0.47058824,1.0,0.0003545,0.25,1.93333333
24,0.33666667,0.46041056,0.11790393,0.0,0.4,1.0,0.0002173,0.16666667,3.74074074
25,0.24,0.37065637,0.28,0.0,0.32,1.0,0.0004507,0.125,1.28571429
26,0.38970588,0.4828496,0.32484076,0.11764706,0.35294118,1.0,0.00060265,0.1875,1.03921569
27,0.46153846,0.53571429,0.29411765,0.07692308,0.38461538,1.0,0.00046321,0.25,1.2
28,0.475,0.58520179,0.16788321,0.0,0.5625,1.0,0.00028871,0.26666667,2.47826087
29,0.37619048,0.44690265,0.12222222,0.0,0.47619048,1.0,0.00021062,0.2,3.59090909
30,0.38947368,0.50253807,0.15909091,0.05,0.55,1.0,0.00028141,0.15789474,2.64285714
31,0.45833333,0.48868778,0.12698413,0.0,0.375,1.0,0.00020084,0.2,3.4375
32,0.45,0.56410256,0.12903226,0.0,0.6875,1.0,0.00020084,0.26666667,3.375
33,0.32631579,0.48387097,0.34042553,0.05,0.5,0.95,0.00064322,0.05263158,0.96875
34,0.44852941,0.46494465,0.08955224,0.0,0.35294118,1.0,0.0001418,0.25,5.08333333
35,0.24137931,0.38811189,0.12863071,0.0,0.4,1.0,0.00020812,0.10344828,3.38709677
36,0.40441176,0.50406504,0.21985816,0.0,0.47058824,1.0,0.00036632,0.25,1.77419355
37,0.3115942,0.4370258,0.13567839,0.08333333,0.54166667,1.0,0.00022631,0.17391304,3.18518519
38,0.33201581,0.40441989,0.0,0.0,0.26086957,1.0,0.0,0.18181818,84.0
39,0.41830065,0.51323829,0.19496855,0.05555556,0.55555556,1.0,0.00034604,0.23529412,2.06451613
40,0.62121212,0.64664311,0.21153846,0.0,0.5,1.0,0.00036792,0.36363636,1.86363636
41,0.47058824,0.57525773,0.09859155,0.0,0.64705882,1.0,0.00016543,0.25,4.57142857
42,0.42307692,0.57065217,0.38888889,0.15384615,0.38461538,0.84615385,0.00064849,0.08333333,0.78571429
43,0.2875817,0.44933921,0.40939597,0.05555556,0.27777778,1.0,0.00068091,0.17647059,0.72131148
44,0.43939394,0.51020408,0.30120482,0.08333333,0.25,1.0,0.00041809,0.18181818,1.16
45,0.25123153,0.48888889,0.12820513,0.0,0.48275862,1.0,0.00020831,0.14285714,3.4
46,0.43137255,0.50086957,0.04347826,0.0,0.38888889,1.0,6.697e-05,0.23529412,11.0
47,0.42647059,0.55782313,0.12781955,0.05882353,0.47058824,1.0,0.00020088,0.1875,3.41176471
