CommunityID,Density,ClusteringCoeff,Conductance,FlakeODF,FOMD,TPR,CutRatio,Cohesiveness,Separability
1,0.32307692,0.45801527,0.12863071,0.0,0.5,1.0,0.00048194,0.16,3.38709677
2,0.43589744,0.51515152,0.2688172,0.15384615,0.23076923,1.0,0.00077325,0.25,1.36
3,0.44761905,0.52427184,0.265625,0.13333333,0.46666667,1.0,0.00091214,0.14285714,1.38235294
4,0.33230769,0.43823264,0.09623431,0.0,0.38461538,1.0,0.00035756,0.2,4.69565217
5,0.31384615,0.40759494,0.03773585,0.0,0.34615385,1.0,0.00012437,0.16,12.75
6,0.41052632,0.51428571,0.12359551,0.0,0.5,1.0,0.00044355,0.21052632,3.54545455
7,0.42105263,0.48245614,0.17948718,0.0,0.55,1.0,0.00070565,0.21052632,2.28571429
8,0.40522876,0.48423006,0.13888889,0.05555556,0.33333333,1.0,0.00044767,0.23529412,3.1
9,0.38947368,0.50253807,0.15909091,0.05,0.55,1.0,0.00056452,0.15789474,2.64285714
10,0.37619048,0.44690265,0.12222222,0.0,0.47619048,1.0,0.0004226,0.2,3.59090909
11,0.57777778,0.5952381,0.38823529,0.1,0.3,1.0,0.0013253,0.33333333,0.78787879
12,0.37894737,0.43612335,0.02040816,0.0,0.3,1.0,6.048e-05,0.21052632,24.0
13,0.3115942,0.4370258,0.13567839,0.08333333,0.54166667,1.0,0.00045436,0.17391304,3.18518519
14,0.33201581,0.40441989,0.0,0.0,0.26086957,1.0,0.0,0.18181818,84.0
15,0.3625731,0.46420323,0.17333333,0.0,0.42105263,1.0,0.00055156,0.22222222,2.38461538
16,0.62121212,0.64664311,0.21153846,0.0,0.5,1.0,0.00073687,0.36363636,1.86363636
17,0.34199134,0.47767857,0.15053763,0.09090909,0.45454545,0.95454545,0.00051361,0.14285714,2.82142857
18,0.43137255,0.50086957,0.04347826,0.0,0.38888889,1.0,0.0001343,0.23529412,11.0
19,0.37362637,0.43636364,0.24444444,0.0,0.21428571,1.0,0.00063211,0.23076923,1.54545455
20,0.41830065,0.56626506,0.07913669,0.05555556,0.61111111,1.0,0.00024622,0.17647059,5.81818182
21,0.4379085,0.55307263,0.0,0.0,0.5,1.0,0.0,0.23529412,67.0
22,0.53846154,0.58029197,0.24324324,0.0,0.46153846,1.0,0.00083511,0.33333333,1.55555556
23,0.45751634,0.55555556,0.02097902,0.0,0.5,1.0,6.715e-05,0.23529412,23.33333333
24,0.33992095,0.37829912,0.03370787,0.0,0.60869565,1.0,0.00010532,0.18181818,14.33333333
25,0.6025641,0.63662791,0.15315315,0.07692308,0.61538462,1.0,0.00052581,0.33333333,2.76470588
26,0.62121212,0.67777778,0.19607843,0.0,0.58333333,1.0,0.00066988,0.36363636,2.05
27,0.66666667,0.70909091,0.21052632,0.1,0.5,1.0,0.00064257,0.44444444,1.875
28,0.47619048,0.53766234,0.03846154,0.0,0.4,1.0,0.00010731,0.28571429,12.5
29,0.71111111,0.74226804,0.16883117,0.0,0.5,1.0,0.00052209,0.44444444,2.46153846
30,0.47794118,0.56521739,0.0,0.0,0.47058824,1.0,0.0,0.25,65.0
31,0.57142857,0.62807882,0.07142857,0.0,0.5,1.0,0.00022986,0.30769231,6.5
32,0.65454545,0.69124424,0.2173913,0.0,0.54545455,1.0,0.00073049,0.4,1.8
