CommunityID,Density,ClusteringCoeff,Conductance,FlakeODF,FOMD,TPR,CutRatio,Cohesiveness,Separability
1,0.89473684,0.92057762,0.02578797,0.0,1.0,1.0,9.042e-05,0.73684211,18.88888889
2,1.0,1.0,0.07335907,0.0,1.0,1.0,0.00023841,1.0,6.31578947
3,0.85454545,0.95778364,0.18965517,0.18181818,0.90909091,1.0,0.00040112,0.2,2.13636364
4,0.32748538,0.64285714,0.11811024,0.10526316,0.47368421,0.94736842,0.00015859,0.05555556,3.73333333
5,1.0,1.0,0.00325733,0.0,1.0,1.0,1.116e-05,1.0,153.0
6,0.24561404,0.43661972,0.09677419,0.0,0.21052632,0.94736842,9.516e-05,0.05555556,4.66666667
7,0.32748538,0.5,0.08196721,0.0,0.47368421,1.0,0.00010573,0.11111111,5.6
8,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,153.0
9,1.0,1.0,0.26315789,0.14285714,1.0,1.0,0.00042943,1.0,1.4
10,0.58095238,0.8164557,0.08270677,0.0,0.93333333,1.0,0.0001472,0.35714286,5.54545455
11,0.95588235,0.96147673,0.0,0.0,1.0,1.0,0.0,0.8125,130.0
12,1.0,1.0,0.11363636,0.0,1.0,1.0,0.00030868,1.0,3.9
13,0.73333333,0.88235294,0.42105263,0.16666667,0.0,0.83333333,0.0005343,0.2,0.6875
14,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,120.0
15,0.83333333,0.93442623,0.22077922,0.11111111,0.88888889,1.0,0.00037869,0.25,1.76470588
16,1.0,1.0,0.00473934,0.0,1.0,1.0,1.338e-05,1.0,105.0
17,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,105.0
18,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,105.0
19,1.0,1.0,0.08333333,0.0,1.0,1.0,0.00018233,1.0,5.5
20,0.63888889,0.8974359,0.36986301,0.22222222,0.77777778,0.77777778,0.00060144,0.125,0.85185185
21,1.0,1.0,0.01086957,0.0,1.0,1.0,2.867e-05,1.0,45.5
22,0.35087719,0.65942029,0.13043478,0.15789474,0.68421053,0.89473684,0.00019031,0.05555556,3.33333333
23,1.0,1.0,0.11111111,0.0,1.0,1.0,0.00017539,1.0,4.0
24,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,91.0
25,1.0,1.0,0.01265823,0.0,1.0,1.0,3.087e-05,1.0,39.0
26,1.0,1.0,0.19230769,0.14285714,1.0,1.0,0.00028629,1.0,2.1
27,0.64444444,0.78947368,0.20547945,0.0,0.2,1.0,0.00030078,0.55555556,1.93333333
28,1.0,1.0,0.04255319,0.0,1.0,1.0,8.021e-05,1.0,11.25
29,1.0,1.0,0.09677419,0.0,1.0,1.0,0.00015033,1.0,4.66666667
30,0.73333333,0.88235294,0.3125,0.33333333,0.0,0.83333333,0.00033393,0.2,1.1
31,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,78.0
32,0.77777778,0.81696429,0.11392405,0.0,0.8,1.0,0.00018047,0.55555556,3.88888889
33,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,78.0
34,1.0,1.0,0.03225806,0.0,1.0,1.0,6.016e-05,1.0,15.0
35,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,78.0
