CommunityID,Density,ClusteringCoeff,Conductance,FlakeODF,FOMD,TPR,CutRatio,Cohesiveness,Separability
1,0.46153846,0.59243697,0.20754717,0.0,0.42857143,1.0,0.00063211,0.30769231,1.90909091
2,0.2745098,0.45833333,0.09677419,0.0,0.16666667,1.0,0.00020145,0.11764706,4.66666667
3,0.95588235,0.96147673,0.0,0.0,1.0,1.0,0.0,0.8125,130.0
4,1.0,1.0,0.45945946,0.2,0.0,1.0,0.00136273,1.0,0.58823529
5,1.0,1.0,0.11363636,0.0,1.0,1.0,0.0006186,1.0,3.9
6,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,120.0
7,1.0,1.0,0.11111111,0.0,1.0,1.0,0.00035112,1.0,4.0
8,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,105.0
9,0.52380952,0.68181818,0.06779661,0.06666667,0.86666667,1.0,0.00021462,0.14285714,6.875
10,1.0,1.0,0.09677419,0.0,1.0,1.0,0.00030096,1.0,4.66666667
11,1.0,1.0,0.31034483,0.2,0.0,1.0,0.00072144,1.0,1.11111111
12,0.63888889,0.73529412,0.20689655,0.11111111,0.55555556,1.0,0.00053526,0.375,1.91666667
13,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,78.0
14,1.0,1.0,0.09677419,0.0,1.0,1.0,0.00030096,1.0,4.66666667
15,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,78.0
16,0.64285714,0.64285714,0.35714286,0.125,0.25,1.0,0.00100321,0.42857143,0.9
17,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,78.0
18,0.91666667,0.92957746,0.22352941,0.0,0.88888889,1.0,0.0008475,0.625,1.73684211
19,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,66.0
20,0.6969697,0.81818182,0.0212766,0.0,1.0,1.0,6.699e-05,0.54545455,23.0
21,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,66.0
22,1.0,1.0,0.19230769,0.0,1.0,1.0,0.00057303,1.0,2.1
23,0.42857143,0.72727273,0.4,0.25,0.125,0.875,0.00080257,0.0,0.75
24,1.0,1.0,0.06666667,0.0,1.0,1.0,0.00020064,1.0,7.0
25,0.5,0.89552239,0.33333333,0.33333333,0.11111111,0.66666667,0.00080289,0.125,1.0
26,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,55.0
27,1.0,1.0,0.16,0.0,1.0,1.0,0.00045843,1.0,2.625
28,1.0,1.0,0.23076923,0.0,0.0,1.0,0.00060144,1.0,1.66666667
29,1.0,1.0,0.1,0.0,1.0,1.0,0.00035684,1.0,4.5
30,0.35714286,0.32142857,0.2,0.0,0.125,0.75,0.0002508,0.14285714,2.0
31,0.78571429,0.82857143,0.06382979,0.0,0.5,1.0,0.00015048,0.42857143,7.33333333
32,1.0,1.0,0.05084746,0.0,1.0,1.0,0.00015048,1.0,9.33333333
33,0.9,0.875,0.30769231,0.2,0.0,1.0,0.00064128,0.75,1.125
34,1.0,1.0,0.01098901,0.0,1.0,1.0,4.016e-05,1.0,45.0
35,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,45.0
36,0.71428571,0.77777778,0.14285714,0.0,0.28571429,1.0,0.00028652,0.5,3.0
37,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,45.0
38,1.0,1.0,0.14285714,0.0,0.0,1.0,0.00033414,1.0,3.0
39,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,45.0
40,0.42857143,0.5,0.17241379,0.0,0.125,0.875,0.0002508,0.14285714,2.4
41,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,45.0
42,1.0,1.0,0.03448276,0.0,1.0,1.0,0.00010032,1.0,14.0
43,1.0,1.0,0.125,0.0,1.0,1.0,0.00034382,1.0,3.5
44,1.0,1.0,0.02702703,0.0,1.0,1.0,8.921e-05,1.0,18.0
45,1.0,1.0,0.14285714,0.0,0.0,1.0,0.00033414,1.0,3.0
46,1.0,1.0,0.01369863,0.0,1.0,1.0,4.461e-05,1.0,36.0
47,1.0,1.0,0.06666667,0.0,1.0,1.0,0.00017191,1.0,7.0
48,0.47435897,0.83870968,0.12941176,0.0,0.53846154,1.0,0.00034023,0.16666667,3.36363636
49,0.9047619,0.90697674,0.07317073,0.0,0.57142857,1.0,0.00017191,0.66666667,6.33333333
50,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,36.0
51,0.78571429,0.81308411,0.2,0.125,0.5,1.0,0.00055177,0.42857143,2.0
52,1.0,1.0,0.09090909,0.0,0.0,1.0,0.00020048,1.0,5.0
53,0.80952381,0.88732394,0.15,0.14285714,0.28571429,1.0,0.00034382,0.33333333,2.83333333
54,0.72222222,0.76642336,0.07142857,0.0,0.44444444,1.0,0.00017842,0.5,6.5
55,1.0,1.0,0.04545455,0.0,1.0,1.0,0.00011461,1.0,10.5
56,1.0,1.0,0.125,0.0,1.0,1.0,0.00034382,1.0,3.5
57,1.0,1.0,0.09090909,0.0,0.0,1.0,0.00020048,1.0,5.0
58,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,36.0
59,1.0,1.0,0.31034483,0.0,0.0,1.0,0.00072144,1.0,1.11111111
60,0.55555556,0.78947368,0.0,0.0,0.11111111,1.0,0.0,0.5,20.0
61,1.0,1.0,0.28571429,0.0,0.0,1.0,0.00064128,1.0,1.25
62,0.94444444,0.94666667,0.0,0.0,1.0,1.0,0.0,0.75,34.0
63,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,36.0
64,0.55555556,0.78947368,0.02439024,0.0,0.11111111,1.0,4.461e-05,0.5,20.0
65,1.0,1.0,0.05084746,0.0,1.0,1.0,0.00015048,1.0,9.33333333
66,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,36.0
67,1.0,1.0,0.04545455,0.0,1.0,1.0,0.00011461,1.0,10.5
68,1.0,1.0,0.625,1.0,0.0,1.0,0.00200321,1.0,0.3
69,0.88888889,0.92079208,0.0,0.0,0.88888889,1.0,0.0,0.5,32.0
70,0.80952381,0.81428571,0.10526316,0.0,0.42857143,1.0,0.00022921,0.5,4.25
71,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,28.0
72,0.86666667,0.86666667,0.13333333,0.0,0.0,1.0,0.00026731,0.6,3.25
73,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,28.0
74,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,28.0
75,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,28.0
76,1.0,1.0,0.04545455,0.0,1.0,1.0,0.00011461,1.0,10.5
77,1.0,1.0,0.23076923,0.0,0.0,1.0,0.00048096,1.0,1.66666667
78,1.0,1.0,0.0625,0.0,0.0,1.0,0.00013365,1.0,7.5
79,0.85714286,0.88461538,0.02702703,0.0,0.42857143,1.0,5.73e-05,0.5,18.0
80,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,28.0
81,1.0,1.0,0.02325581,0.0,1.0,1.0,5.73e-05,1.0,21.0
82,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,28.0
83,0.75,0.77319588,0.0,0.0,0.375,1.0,0.0,0.57142857,21.0
84,0.60714286,0.90909091,0.22727273,0.25,0.125,0.75,0.00050161,0.14285714,1.7
85,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,28.0
86,1.0,1.0,0.11764706,0.0,0.0,1.0,0.00026731,1.0,3.75
87,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,28.0
88,0.5,0.62790698,0.0,0.0,0.125,1.0,0.0,0.28571429,14.0
89,0.5,0.78947368,0.05263158,0.0,0.11111111,1.0,8.921e-05,0.25,9.0
90,1.0,1.0,0.0625,0.0,0.0,1.0,0.00013365,1.0,7.5
91,1.0,1.0,0.02325581,0.0,1.0,1.0,5.73e-05,1.0,21.0
