CommunityID,Density,ClusteringCoeff,Conductance,FlakeODF,FOMD,TPR,CutRatio,Cohesiveness,Separability
1,0.47953216,0.57212714,0.5879397,0.15789474,1.0,1.0,0.00247255,0.27777778,0.35042735
2,0.18128655,0.38235294,0.42592593,0.26315789,0.84210526,0.63157895,0.00048606,0.05555556,0.67391304
3,0.46428571,0.43902439,0.53571429,0.25,0.875,0.875,0.0007512,0.14285714,0.43333333
4,0.7,0.6,0.57575758,0.2,1.0,1.0,0.00076076,0.5,0.36842105
5,0.32679739,0.39692308,0.08256881,0.0,1.0,1.0,0.00010036,0.17647059,5.55555556
6,0.58181818,0.66298343,0.2195122,0.09090909,1.0,1.0,0.00032799,0.3,1.77777778
7,0.42222222,0.42857143,0.44117647,0.2,1.0,0.9,0.0006012,0.22222222,0.63333333
8,0.61111111,0.6407767,0.2,0.0,1.0,1.0,0.00024489,0.375,2.0
9,0.66666667,0.6,0.61904762,0.5,0.75,0.75,0.00065052,0.33333333,0.30769231
10,0.47222222,0.46153846,0.12820513,0.0,1.0,1.0,0.00011131,0.25,3.4
11,0.64285714,0.70833333,0.29411765,0.125,1.0,1.0,0.0003756,0.28571429,1.2
12,0.6,0.6,0.4,0.2,1.0,1.0,0.00032032,0.5,0.75
13,0.8,0.80188679,0.06382979,0.0,1.0,1.0,0.00010933,0.6,7.33333333
14,0.66666667,0.6,0.55555556,0.25,0.75,0.75,0.0005004,0.33333333,0.4
15,0.71428571,0.75,0.14893617,0.0,1.0,1.0,0.00017528,0.42857143,2.85714286
16,0.15151515,0.0,0.33333333,0.08333333,0.08333333,0.0,0.00016707,0.0,1.0
17,1.0,1.0,0.6,0.33333333,1.0,1.0,0.00060036,1.0,0.33333333
18,0.66666667,0.64285714,0.31034483,0.16666667,1.0,1.0,0.00030036,0.4,1.11111111
19,1.0,1.0,0.625,0.33333333,1.0,1.0,0.00066707,1.0,0.3
20,0.71428571,0.74157303,0.11111111,0.0,1.0,1.0,0.0001252,0.42857143,4.0
21,0.18181818,0.0,0.0,0.0,0.09090909,0.0,0.0,0.1,10.0
22,0.125,0.0,0.25,0.0625,0.25,0.0,0.0001254,0.06666667,1.5
23,0.6,0.57142857,0.25,0.0,1.0,1.0,0.00020024,0.4,1.5
24,0.83333333,0.75,0.44444444,0.25,1.0,1.0,0.00040032,0.66666667,0.625
25,0.4,0.38888889,0.18181818,0.0,1.0,0.9,0.00016032,0.22222222,2.25
26,0.16666667,0.0,0.3125,0.08333333,0.25,0.0,0.00016707,0.09090909,1.1
27,1.0,1.0,0.53846154,0.33333333,1.0,1.0,0.00046695,1.0,0.42857143
28,0.83333333,0.75,0.52380952,0.25,1.0,1.0,0.00055044,0.66666667,0.45454545
29,0.8,0.78947368,0.23809524,0.2,1.0,1.0,0.0002002,0.5,1.6
30,0.66666667,0.78,0.28205128,0.14285714,0.85714286,0.85714286,0.00031473,0.16666667,1.27272727
31,0.83333333,0.75,0.375,0.25,1.0,1.0,0.00030024,0.66666667,0.83333333
32,0.6,0.33333333,0.4,0.2,1.0,0.6,0.00032032,0.5,0.75
33,0.83333333,0.75,0.44444444,0.25,1.0,1.0,0.00040032,0.66666667,0.625
34,0.53333333,0.4,0.30434783,0.0,1.0,0.83333333,0.00023361,0.4,1.14285714
35,0.125,0.0,0.0625,0.0,0.3125,0.0,2.508e-05,0.06666667,7.5
36,1.0,1.0,0.29411765,0.25,1.0,1.0,0.0002502,1.0,1.2
37,0.47222222,0.5,0.05555556,0.0,1.0,0.88888889,4.452e-05,0.25,8.5
38,0.66666667,0.69230769,0.16666667,0.0,1.0,1.0,0.00013349,0.4,2.5
39,0.80952381,0.82608696,0.02857143,0.0,1.0,1.0,2.861e-05,0.5,17.0
40,0.66666667,0.6,0.69230769,1.0,0.75,0.75,0.00090072,0.33333333,0.22222222
41,1.0,1.0,0.66666667,1.0,1.0,1.0,0.00080048,1.0,0.25
42,0.75,0.76530612,0.0,0.0,1.0,1.0,0.0,0.42857143,21.0
43,0.85714286,0.85714286,0.1,0.0,1.0,1.0,0.00011445,0.66666667,4.5
44,0.25,0.0,0.0,0.0,0.125,0.0,0.0,0.14285714,7.0
45,1.0,1.0,0.16666667,0.0,1.0,1.0,0.00016016,1.0,2.5
46,0.8,0.78947368,0.33333333,0.0,1.0,1.0,0.00032032,0.5,1.0
47,0.83333333,0.75,0.28571429,0.25,1.0,1.0,0.00020016,0.66666667,1.25
48,0.80952381,0.75,0.05555556,0.0,1.0,1.0,5.722e-05,0.66666667,8.5
49,0.5,0.375,0.44444444,0.2,0.6,0.6,0.00032032,0.25,0.625
50,0.16666667,0.0,0.47619048,0.08333333,0.33333333,0.0,0.00033414,0.09090909,0.55
51,0.16666667,0.0,0.04347826,0.0,0.33333333,0.0,1.671e-05,0.09090909,11.0
52,1.0,1.0,0.2,0.0,1.0,1.0,0.0002002,1.0,2.0
53,1.0,1.0,0.6,0.66666667,1.0,1.0,0.00060036,1.0,0.33333333
54,0.83333333,0.75,0.375,0.25,1.0,1.0,0.00030024,0.66666667,0.83333333
55,0.5,0.5,0.33333333,0.2,0.8,0.6,0.0002002,0.25,1.0
56,0.85714286,0.84615385,0.0,0.0,1.0,1.0,0.0,0.66666667,18.0
57,1.0,1.0,0.4,0.33333333,1.0,1.0,0.00026683,1.0,0.75
58,0.7,0.64285714,0.125,0.0,1.0,1.0,8.008e-05,0.5,3.5
59,0.66666667,0.6,0.46666667,0.25,0.75,0.75,0.00035028,0.33333333,0.57142857
60,1.0,1.0,0.4,0.33333333,1.0,1.0,0.00026683,1.0,0.75
61,1.0,1.0,0.45454545,0.33333333,1.0,1.0,0.00033353,1.0,0.6
62,0.28571429,0.0,0.0,0.0,0.14285714,0.0,0.0,0.16666667,6.0
63,0.53333333,0.6,0.23809524,0.0,1.0,1.0,0.00016687,0.4,1.6
64,0.61904762,0.61363636,0.0,0.0,1.0,1.0,0.0,0.33333333,13.0
65,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.14285714,7.0
66,0.28571429,0.0,0.0,0.0,0.14285714,0.0,0.0,0.16666667,6.0
67,0.80952381,0.81428571,0.0,0.0,1.0,1.0,0.0,0.5,17.0
68,0.6,0.5,0.05263158,0.0,1.0,1.0,3.337e-05,0.4,9.0
69,0.22222222,0.0,0.0,0.0,0.33333333,0.0,0.0,0.125,8.0
70,1.0,1.0,0.45454545,0.33333333,1.0,1.0,0.00033353,1.0,0.6
71,0.5,0.5,0.33333333,0.0,0.8,0.6,0.0002002,0.25,1.0
72,0.22222222,0.0,0.0,0.0,0.22222222,0.0,0.0,0.125,8.0
73,0.93333333,0.92307692,0.06666667,0.0,1.0,1.0,6.675e-05,0.8,7.0
74,0.61904762,0.65853659,0.03703704,0.0,1.0,1.0,2.861e-05,0.33333333,13.0
75,0.83333333,0.75,0.33333333,0.0,1.0,1.0,0.0002502,0.66666667,1.0
76,0.6,0.6,0.14285714,0.0,1.0,1.0,8.008e-05,0.5,3.0
77,1.0,1.0,0.5,0.33333333,1.0,1.0,0.00040024,1.0,0.5
78,0.34848485,0.42,0.32352941,0.0,0.83333333,0.83333333,0.00036755,0.09090909,1.04545455
79,0.33333333,0.0,0.0,0.0,0.16666667,0.0,0.0,0.2,5.0
80,0.7,0.64285714,0.26315789,0.0,1.0,1.0,0.0002002,0.5,1.4
81,1.0,1.0,0.09090909,0.0,1.0,1.0,8.008e-05,1.0,5.0
82,1.0,1.0,0.33333333,0.33333333,1.0,1.0,0.00020012,1.0,1.0
83,0.33333333,0.0,0.0,0.0,0.16666667,0.0,0.0,0.2,5.0
84,0.33333333,0.0,0.0,0.0,0.16666667,0.0,0.0,0.2,5.0
85,0.28571429,0.0,0.0,0.0,0.28571429,0.0,0.0,0.16666667,6.0
86,0.33333333,0.0,0.0,0.0,0.16666667,0.0,0.0,0.2,5.0
87,0.66666667,0.61363636,0.0,0.0,1.0,1.0,0.0,0.5,14.0
88,0.66666667,0.6,0.27272727,0.0,0.75,0.75,0.00015012,0.33333333,1.33333333
89,0.33333333,0.0,0.0,0.0,0.16666667,0.0,0.0,0.2,5.0
90,1.0,1.0,0.33333333,0.33333333,1.0,1.0,0.00020012,1.0,1.0
91,1.0,1.0,0.33333333,0.33333333,1.0,1.0,0.00020012,1.0,1.0
92,0.83333333,0.75,0.16666667,0.0,1.0,1.0,0.00010008,0.66666667,2.5
93,0.33333333,0.0,0.0,0.0,0.16666667,0.0,0.0,0.2,5.0
94,1.0,1.0,0.14285714,0.0,1.0,1.0,0.00010008,1.0,3.0
95,0.33333333,0.0,0.0,0.0,0.16666667,0.0,0.0,0.2,5.0
96,0.16666667,0.0,0.18518519,0.08333333,0.41666667,0.0,8.353e-05,0.09090909,2.2
97,0.27272727,0.38297872,0.42857143,0.25,0.83333333,0.5,0.00045108,0.09090909,0.66666667
98,0.53333333,0.52941176,0.0,0.0,1.0,1.0,0.0,0.4,8.0
99,0.5,0.46153846,0.0,0.0,1.0,1.0,0.0,0.28571429,14.0
100,0.28571429,0.0,0.0,0.0,0.28571429,0.0,0.0,0.16666667,6.0
101,0.83333333,0.75,0.16666667,0.0,1.0,1.0,0.00010008,0.66666667,2.5
