CommunityID,Density,ClusteringCoeff,Conductance,FlakeODF,FOMD,TPR,CutRatio,Cohesiveness,Separability
1,0.46428571,0.43902439,0.53571429,0.25,0.875,0.875,0.00150421,0.14285714,0.43333333
2,0.41758242,0.47004608,0.17391304,0.0,1.0,1.0,0.00045953,0.23076923,2.375
3,1.0,1.0,0.625,0.33333333,1.0,1.0,0.0013344,1.0,0.3
4,0.71428571,0.75,0.14893617,0.0,1.0,1.0,0.00035098,0.42857143,2.85714286
5,0.47222222,0.46153846,0.12820513,0.0,1.0,1.0,0.00022294,0.25,3.4
6,1.0,1.0,0.625,0.33333333,1.0,1.0,0.0013344,1.0,0.3
7,0.18181818,0.0,0.0,0.0,0.09090909,0.0,0.0,0.1,10.0
8,0.83333333,0.75,0.44444444,0.25,1.0,1.0,0.00080096,0.66666667,0.625
9,0.52777778,0.65384615,0.15555556,0.11111111,0.88888889,0.88888889,0.00031211,0.125,2.71428571
10,0.14285714,0.0,0.07142857,0.0,0.21428571,0.0,5.744e-05,0.07692308,6.5
11,0.8,0.78947368,0.23809524,0.2,1.0,1.0,0.00040064,0.5,1.6
12,1.0,1.0,0.53846154,0.33333333,1.0,1.0,0.00093408,1.0,0.42857143
13,0.6,0.54545455,0.5,0.4,0.8,0.8,0.00096154,0.25,0.5
14,0.83333333,0.75,0.375,0.25,1.0,1.0,0.00060072,0.66666667,0.83333333
15,0.53333333,0.4,0.30434783,0.0,1.0,0.83333333,0.0004676,0.4,1.14285714
16,0.66666667,0.69230769,0.16666667,0.0,1.0,1.0,0.0002672,0.4,2.5
17,1.0,1.0,0.29411765,0.25,1.0,1.0,0.0005006,1.0,1.2
18,0.47619048,0.39130435,0.25925926,0.0,1.0,0.71428571,0.00040096,0.33333333,1.42857143
19,0.83333333,0.75,0.28571429,0.25,1.0,1.0,0.00040048,0.66666667,1.25
20,0.18181818,0.0,0.04761905,0.0,0.36363636,0.0,3.651e-05,0.1,10.0
21,1.0,1.0,0.2,0.0,1.0,1.0,0.00040064,1.0,2.0
22,0.5,0.5,0.33333333,0.2,0.8,0.6,0.00040064,0.25,1.0
23,0.80952381,0.75,0.05555556,0.0,1.0,1.0,0.00011456,0.66666667,8.5
24,0.5,0.42857143,0.41176471,0.4,0.6,0.6,0.0005609,0.25,0.71428571
25,0.25,0.0,0.06666667,0.0,0.125,0.0,5.014e-05,0.14285714,7.0
26,1.0,1.0,0.45454545,0.33333333,1.0,1.0,0.0006672,1.0,0.6
27,0.80952381,0.81428571,0.0,0.0,1.0,1.0,0.0,0.5,17.0
28,1.0,1.0,0.4,0.33333333,1.0,1.0,0.00053376,1.0,0.75
29,1.0,1.0,0.5,0.33333333,1.0,1.0,0.00080064,1.0,0.5
30,0.6,0.54545455,0.33333333,0.2,0.8,0.8,0.00048077,0.25,1.0
31,1.0,1.0,0.45454545,0.33333333,1.0,1.0,0.0006672,1.0,0.6
32,1.0,1.0,0.4,0.33333333,1.0,1.0,0.00053376,1.0,0.75
33,0.7,0.64285714,0.17647059,0.0,1.0,1.0,0.00024038,0.5,2.33333333
34,0.66666667,0.6,0.46666667,0.25,0.75,0.75,0.00070084,0.33333333,0.57142857
35,0.61904762,0.61363636,0.0,0.0,1.0,1.0,0.0,0.33333333,13.0
36,0.22222222,0.0,0.5,0.44444444,0.44444444,0.0,0.00071339,0.125,0.5
37,1.0,1.0,0.33333333,0.33333333,1.0,1.0,0.00040032,1.0,1.0
38,0.33333333,0.0,0.0,0.0,0.16666667,0.0,0.0,0.2,5.0
39,0.33333333,0.0,0.0,0.0,0.16666667,0.0,0.0,0.2,5.0
40,0.33333333,0.0,0.0,0.0,0.16666667,0.0,0.0,0.2,5.0
41,0.5,0.375,0.28571429,0.2,0.6,0.6,0.00032051,0.25,1.25
